"scope","operation_id","command","argument_form","status","evidence","live_record"
"api","AccountService_GetAccount","/tmp/redwood-cli-live.g6SvWe/cadenya accounts retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya accounts retrieve","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","AccountService_RotateChallengeToken","/tmp/redwood-cli-live.g6SvWe/cadenya accounts rotate-challenge-token","/tmp/redwood-cli-live.g6SvWe/cadenya accounts rotate-challenge-token","completed","real api.cadenya.com: serialized CLI coordinated operation succeeded (coord-cli-mtc9rnmd); secret/body not persisted",""
"api","AccountService_RotateWebhookSigningKey","/tmp/redwood-cli-live.g6SvWe/cadenya accounts rotate-webhook-signing-key","/tmp/redwood-cli-live.g6SvWe/cadenya accounts rotate-webhook-signing-key","completed","real api.cadenya.com: serialized CLI coordinated operation succeeded (coord-cli-mtc9rnmd); secret/body not persisted",""
"api","GlobalAPIKeyService_GetGlobalAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys retrieve-global","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys retrieve-global","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","GlobalAPIKeyService_DisableGlobalAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys disable-global","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys disable-global","completed","real api.cadenya.com: serialized CLI coordinated operation succeeded (coord-cli-mtc9rnmd); secret/body not persisted",""
"api","GlobalAPIKeyService_EnableGlobalAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys enable-global","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys enable-global","completed","real api.cadenya.com: serialized CLI coordinated operation succeeded (coord-cli-mtc9rnmd); secret/body not persisted",""
"api","GlobalAPIKeyService_RotateGlobalAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys rotate-global","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys rotate-global","completed","real api.cadenya.com: serialized CLI coordinated operation succeeded (coord-cli-mtc9rnmd); secret/body not persisted",""
"api","APIKeyService_ListAPIKeys","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys list","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys list [--workspace-id <value>] [--limit <value>] [--cursor <value>] [--prefix <value>] [--query <value>] [--labels <value>] [--sort-order <value>] [--include-info[=true|false]]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","APIKeyService_CreateAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys create","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys create [--workspace-id <value>] --name <value> [--external-id <value>] [--label KEY=VALUE]... [--description <value>] [--permission <value>]... [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","APIKeyService_GetAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys retrieve","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys retrieve <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI exit 0 and decoded expected JSON shape; no response body persisted",""
"api","APIKeyService_DeleteAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys delete","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys delete <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","APIKeyService_UpdateAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys update","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys update <id> [--workspace-id <value>] [--name <value>] [--external-id <value>] [--label KEY=VALUE]... [--description <value>] [--permission <value>]... [--update-mask <value>] [-f <doc>] [--dry-run]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","APIKeyService_DisableAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys disable","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys disable <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
"api","APIKeyService_EnableAPIKey","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys enable","/tmp/redwood-cli-live.g6SvWe/cadenya api-keys enable <id> [--workspace-id <value>]","completed","real api.cadenya.com: CLI owned-fixture mutation succeeded (live-cli-mtc9zpvv); response body not persisted",""
